date,JPM,BAC,spread,zscore_full,signal,position
2023-05-09,128.62774658203125,25.866493225097656,-33.46501508005082,0.8590102485458083,0,1
2023-05-10,128.69371032714844,25.548538208007812,-31.406581526370616,0.9311466537042378,0,1
2023-05-11,128.2882843017578,25.614002227783203,-32.222238798128956,0.9025624988643676,0,1
2023-05-12,126.44951629638672,25.333452224731445,-32.302936067616855,0.899734517889927,0,1
2023-05-15,127.51505279541016,25.857141494750977,-34.51910611039486,0.8220703446549017,0,1
2023-05-16,126.65697479248048,25.58594512939453,-33.677728086146786,0.8515558657882145,0,1
2023-05-17,130.55136108398438,26.71748733520508,-36.874167732310895,0.7395388104074783,0,1
2023-05-18,131.54144287109375,26.623973846435547,-35.29808228728771,0.7947716538593487,0,1
2023-05-19,131.2396697998047,26.287315368652344,-33.49018003745962,0.8581283597133071,0,1
2023-05-22,130.1553192138672,26.502403259277344,-35.92238206534097,0.7728934923566607,0,1
2023-05-23,128.79745483398438,26.72683906555176,-38.68667673858795,0.676020663904112,0,1
2023-05-24,127.61878967285156,26.27796745300293,-37.05248131299243,0.7332899321387111,0,1
2023-05-25,127.929931640625,26.343421936035156,-37.1515108294449,0.7298195100263786,0,1
2023-05-26,129.12750244140625,26.474349975585938,-36.77440252139911,0.7430350144322241,0,1
2023-05-30,129.6178436279297,26.427589416503903,-35.99103560106201,0.7704875758482179,0,1
2023-05-31,127.96768951416016,25.988065719604492,-34.886907979523585,0.8091809780770678,0,1
2023-06-01,129.73101806640625,26.186016082763672,-34.364038300355475,0.8275045906872948,0,1
2023-06-02,132.45611572265625,27.06264877319336,-37.13237234041043,0.7304902053697588,0,1
2023-06-05,131.1548309326172,26.902406692504883,-37.42949776616152,0.7200776467246031,0,1
2023-06-06,131.39056396484375,27.55281639099121,-41.269566711497106,0.5855050399082322,0,1
2023-06-07,132.66354370117188,27.788471221923828,-41.473321452180215,0.5783645934747833,0,1
2023-06-08,132.70126342773438,27.55281639099121,-39.95886724860648,0.6314376119492257,0,1
2023-06-09,132.96530151367188,27.590518951416016,-39.931092814173866,0.6324109481308553,0,1
2023-06-12,132.95587158203125,27.458553314208984,-39.1135581320481,0.661060895541329,0,1
2023-06-13,133.9176788330078,27.71306037902832,-39.74662316004938,0.6388755618103049,0,1
2023-06-14,133.4179229736328,27.449127197265625,-38.59243783946323,0.6793232020874753,0,1
2023-06-15,134.92665100097656,27.68478202819824,-38.560444289130686,0.680444394318878,0,1
2023-06-16,135.0869598388672,27.515113830566406,-37.33690718596878,0.7233224206910475,0,1
2023-06-20,134.3985595703125,27.213472366333008,-36.13506676577231,0.7654401015518498,0,1
2023-06-21,134.20057678222656,26.93068504333496,-34.56095861950209,0.8206036519125208,0,1
